Modelo,Configuracion,Accuracy,stdAccuracy,errorMetrico,runtime
LogisticRegression,[4 1 2 3 1],0.7670902888593732,0.02070224873129272,0.4873567753559842,"[ 11.27762985  10.3054359    8.40307641  10.71076608  11.52588749
   9.78967309  10.72544122  10.28076935  10.19995093  10.12335873]"
LinearDiscriminantAnalysis,[6 1 3 3 5],0.7755300592093949,0.021650499247433373,0.481081310497445,"[ 0.43969536  0.00853348  0.00706434  0.00619745  0.00614119  0.00706172
  0.00622296  0.00617528  0.00604916  0.00610495]"
GaussianNB,[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.2889830634251303,"[ 0.0210073   0.0059073   0.00496173  0.00570297  0.00434566  0.00427437
  0.00439763  0.00434041  0.00437498  0.00426507]"
MLPClassifier,[4 1 4 6 1],0.7332416758900572,0.01545782136034672,0.6054015477764315,"[ 2.11716223  2.48912477  2.37676096  3.62947464  2.73706365  2.37332439
  3.40154171  2.93188143  2.73487663  3.28673768]"
SVC,[6 1 6 6 1],0.7890380003689356,0.022564678116180535,0.4937201255834042,"[ 1.45204401  1.42060113  1.54433203  1.47580481  1.33742452  1.60836244
  1.42753196  1.59010887  1.4918294   1.5477035 ]"
DecisionTreeClassifier,[6 1 3 6 5],0.8639707146893351,0.014612925024473075,0.2914078314886465,"[ 0.01148796  0.01508069  0.01293445  0.01064968  0.01046538  0.01037288
  0.01014709  0.01021266  0.01095891  0.01041031]"
KNeighborsClassifier,[6 1 3 6 1],0.8787596159580179,0.0134319915038214,0.248959898723979,"[ 0.03288507  0.0142374   0.01635289  0.01483989  0.01447678  0.01473141
  0.01449871  0.01430655  0.01412559  0.01382232]"
RandomForestClassifier,[6 1 3 3 5],0.9055990958897379,0.01421393018435251,0.2012208800969078,"[ 0.13494205  0.15340757  0.11245489  0.11961651  0.11260414  0.11279273
  0.11334896  0.1191237   0.11318803  0.11743093]"
ExtraTreesClassifier,[6 1 3 3 5],0.910313121882908,0.014660363173986262,0.20918176942702577,"[ 0.05722499  0.05498505  0.05771828  0.05677629  0.05558825  0.05524158
  0.05364943  0.05479479  0.06060934  0.06368637]"
GradientBoostingClassifier,[6 1 3 3 5],0.9187289634670662,0.011251213025277828,0.17986685613921585,"[ 5.07885075  4.95866656  4.92382574  5.03103256  4.96436858  5.06718946
  5.12278366  5.09885669  5.15744972  5.22850132]"
AdaBoostClassifier,[6 1 3 6 5],0.9053613984227207,0.01810849057695856,0.1876273881085827,"[ 4.76583266  5.95618272  4.59271789  4.40633464  4.37261271  4.48253679
  4.45753384  4.43709421  5.35321736  5.63514829]"
VotingClassifier,[6 1 3 3 5],0.9212078962238655,0.009269630900383507,0.1616210137046623,"[ 6.36932445  6.28495526  6.00400996  5.7736063   5.85819387  5.66654468
  6.01697159  5.99687052  5.68056107  5.37872076]"
