Configuracion,Precision,desvPrecision,errorMetrico
[6 6 6 6 6],0.9427823421213979,0.008566804806821624,0.08845152731068323
[6 6 2 6 6],0.9014443081953812,0.009524845810406028,0.09552764949553787
[6 3 6 6 6],0.9004808994279137,0.009517881804100747,0.11725116080766024
[6 6 3 6 6],0.8958240242375004,0.010026095600883553,0.11416560394430078
[6 6 6 2 6],0.8931498058450847,0.00802168342918218,0.1344463215122385
[6 5 6 6 6],0.8906841339155751,0.021278223313671178,0.12196820024833463
[6 2 6 6 6],0.890143265890047,0.01055931451799003,0.11574514145226546
[6 1 2 6 6],0.8864363264681975,0.013201632450233949,0.12553450378136302
[6 6 3 3 6],0.8860757083375648,0.011164165709332824,0.0905096679918781
[6 1 2 6 5],0.8836198501420511,0.016929487225448358,0.15177617971306037
[6 1 6 6 6],0.8826218702465172,0.009833166502055667,0.148230007289858
[6 6 5 6 6],0.881513828238719,0.007225428614841834,0.11785113019775792
[6 1 2 3 5],0.8814170509694087,0.008199713807977654,0.15390388316698178
[6 3 3 6 6],0.8789449409295556,0.011743872003927501,0.12290801505715263
[6 3 2 6 6],0.878802554077384,0.008565382632586256,0.18616193075602197
[6 1 3 6 5],0.8774038035911179,0.025500325939799538,0.14113766244345333
[6 5 2 6 6],0.8740902474526928,0.012593288863673915,0.13329014288742053
[6 1 3 3 5],0.8734006164940322,0.014489277965974615,0.14539306935129614
[6 5 2 6 5],0.8729257641921399,0.011844181581623498,0.16828523831732245
[6 6 3 3 5],0.8726215456532034,0.015377376113669412,0.1281859013794331
[6 5 4 6 5],0.8718879566798646,0.011277640726563341,0.16879987207364455
[6 4 2 6 6],0.8715307582260372,0.006028986410788414,0.11380473946135423
[6 4 6 6 4],0.8705293276108726,0.012525033722810178,0.11582793482955607
[6 4 2 3 6],0.8701941792762602,0.011677742231641313,0.07868170001566675
[6 5 4 3 5],0.8700961417319414,0.017100005382781676,0.12922806317926586
[6 4 4 6 6],0.8698140200286122,0.008842081339263199,0.14465846882643246
