Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 1],0.7465899670827599,0.015869272700218564,0.31348164221108726
[6 1 2 3 5],0.7447815309333525,0.013093616486465903,0.29433231112579467
[6 1 3 3 1],0.7445783132530122,0.012861848120082092,0.23475661441599524
[6 1 4 3 1],0.7389747366218382,0.024820745560438284,0.30780776633396356
[4 1 3 3 1],0.7351616766467066,0.021976534192345944,0.24088252985475797
[4 1 2 3 1],0.7315540918163672,0.024253045402053322,0.2776153496566566
[6 1 3 4 1],0.7291297454346444,0.014498519174677699,0.2801476214329852
[6 1 1 3 5],0.7267229237591648,0.0218121421044657,0.2744737455558615
[6 1 6 3 1],0.7257225293961418,0.026453915582210632,0.3255386284499752
[6 1 3 1 1],0.7247160988643955,0.0157729803171571,0.29078613870259234
[6 1 2 3 2],0.7247120747519136,0.023414196253347563,0.297878483548997
[6 1 2 3 4],0.7237044369864226,0.022794747961673762,0.30426159391076124
[6 4 3 3 5],0.7232364964962356,0.02098740971207454,0.19019452846948406
[6 1 3 2 1],0.7231120876290734,0.01578493171230566,0.30709853184932306
[6 1 4 3 4],0.722309277188916,0.022934103648054465,0.2879492007640304
[6 1 3 3 2],0.7208996305864741,0.015156435009372941,0.2553244144705688
[6 4 6 1 5],0.7205040603294943,0.02314191790223434,0.22766426956959054
[6 1 2 1 1],0.7205028530957497,0.014470299823912463,0.35887264922807727
[6 1 4 1 6],0.7203016474716502,0.017909815592279322,0.35603571128951544
[6 1 1 3 1],0.7190903896145705,0.021056024820158236,0.2773106834944234
[6 4 3 1 1],0.7184972354347249,0.008664735405139604,0.2503597730780856
[6 6 2 1 1],0.7173024764388214,0.010819580792236872,0.2687998696787377
[6 1 4 1 4],0.7170912105335169,0.020446868762321515,0.30000618700291837
[6 1 3 1 6],0.7170843695422975,0.015778504857161382,0.28511226282546853
[6 1 2 4 1],0.7160892065255008,0.013090902184004407,0.35248953886631307
[6 1 4 1 1],0.7156932338572728,0.025416279259823173,0.40639135969898876
[6 1 1 3 6],0.714075540639512,0.016641474538486026,0.2829845593715471
[6 4 3 3 1],0.7140751382282637,0.013954378067307488,0.2085149384842979
[5 1 3 3 1],0.7137764471057885,0.01626982435164951,0.20980091309930532
[6 4 4 4 1],0.713677555915043,0.012767978524436957,0.29078613870259234
[6 6 2 3 1],0.7132844001255523,0.014151915131454876,0.2794383869483448
[6 1 2 3 3],0.7126747470845305,0.0198462075504238,0.3070985318493231
[6 1 1 3 3],0.7106751655922288,0.023551388559458722,0.3049708283954017
[6 1 4 1 2],0.7102723519327813,0.01946941794711628,0.32766633190389666
[6 4 3 1 3],0.7078751881272585,0.018229147390938352,0.28440302834082803
[6 5 4 3 2],0.7065791703051078,0.01990571588766863,0.25220315555953504
[4 4 3 3 1],0.706577245508982,0.018079488641281883,0.2359377271891178
[4 6 2 1 1],0.7062727865369292,0.025288852654499334,0.2354658489006357
[6 1 6 3 2],0.7056591093834255,0.02576669125104581,0.3241201594806943
[6 1 2 6 1],0.705658304560929,0.012975076147297145,0.36738346304376296
[6 3 3 3 5],0.7049951994300139,0.02161577294379126,0.21781181616505296
[6 1 5 3 1],0.7040434282219057,0.015949147104748877,0.35036183541239174
[6 4 3 6 1],0.703852282879011,0.018338180735092146,0.309935469787885
[6 6 3 3 1],0.7036510772549114,0.015432488057742014,0.2425581937470404
[6 1 1 4 5],0.703648260376174,0.016903408997235213,0.33830484917350373
[6 1 6 1 4],0.7032518852966978,0.017264558311782554,0.3127724077264468
[5 4 3 1 1],0.7029828343313372,0.01969683031863496,0.24229533061636943
[6 6 3 1 2],0.7026518901256329,0.011069930902371098,0.28723996627938997
[6 4 3 1 2],0.7026446467231652,0.008676620752326267,0.228373504054231
[6 5 3 3 1],0.7016426427151492,0.006013410294686642,0.275182980040502
[6 4 2 1 1],0.7014438515585388,0.01817740185462164,0.28582149731010903
[6 1 3 3 4],0.701434193688582,0.023676312929606105,0.23475661441599524
[4 4 4 4 1],0.7009688622754491,0.02184418451437405,0.2797345507990738
[6 4 6 1 1],0.7004418475505226,0.02161043539147563,0.24823206962416414
[4 6 6 1 1],0.6984374371232425,0.014668195964219762,0.2595798213784117
[6 1 4 6 4],0.6984318033657677,0.02869864960577397,0.3184462836035706
[4 4 4 3 1],0.6979696606786427,0.020620746886825133,0.2126265146225283
[6 4 4 1 2],0.6976302001593548,0.01798841406044687,0.23901202132383806
[6 1 5 4 1],0.6974257752452696,0.018198241261190164,0.36241882165127964
[6 5 1 3 1],0.6972342274911268,0.017511111268075148,0.2900769042179518
[6 4 3 3 2],0.6968907619918079,0.012898373173810183,0.21804601834406995
[6 1 2 4 6],0.6964249784709982,0.014516840960211625,0.3758942768594486
[6 4 2 1 2],0.6962358451843446,0.013604373078230377,0.23617508338527618
[6 1 1 1 5],0.695824580888685,0.016786812545923794,0.32766633190389666
[1 1 3 3 1],0.6945944111776448,0.023457339604643232,0.22675452223864312
[5 1 4 1 1],0.6941884231536927,0.022369217203988365,0.36874099878059724
[5 6 3 3 1],0.6938245969851349,0.014433808109253992,0.26525369725553544
[5 4 3 4 1],0.6935820359281437,0.02452953331292264,0.24088252985475797
