Configuracion,Precision,desvPrecision,errorMetrico
[6 1 2 3 5],0.721105262734304,0.01636401523011832,0.3227016905114134
[6 1 2 3 1],0.7154867968869466,0.012122777133743339,0.31702781463428964
[6 1 3 3 5],0.7056643407296521,0.01964703873580191,0.3120631732418063
[6 1 2 3 4],0.6928081061721837,0.02231431750291576,0.32199245602677296
[6 1 3 3 1],0.6910101327152296,0.013166751924916374,0.2794383869483447
[6 1 3 1 5],0.6896161801514675,0.017788334491811105,0.3439787250506275
[6 1 3 6 5],0.6865989006124699,0.017605101908049123,0.3730573389208867
[6 1 4 3 5],0.6863984998108668,0.022285961616624668,0.37447580789016766
[6 1 2 1 4],0.6857896515923413,0.011453770139584499,0.3163185801496492
[6 4 3 3 5],0.6822452765432421,0.018735777484549507,0.2162485734653038
[6 1 2 4 1],0.6821723768822785,0.0165253325180724,0.36880193201304384
[6 1 2 1 5],0.6799804428133375,0.012742362213854075,0.3695111664976844
[6 1 6 1 5],0.679575617097649,0.022917233562905714,0.32766633190389666
[6 4 2 1 5],0.6789760243378323,0.019824192638797686,0.28156609040226616
[6 1 6 1 1],0.6755631745418548,0.025435700490626857,0.3262478629346157
[6 5 4 3 5],0.6747305381417232,0.02244491268025147,0.32411231974799753
[6 1 3 4 1],0.672957561709765,0.014198039135682725,0.33192173881173953
[6 6 2 3 5],0.6719742289763274,0.018582856014713208,0.2902420612534318
[6 4 4 1 5],0.6719458998317921,0.013470192300722387,0.27872915246370433
[6 6 6 1 5],0.6711459062703721,0.02739445749278483,0.26454446277089494
[6 1 2 2 5],0.670751945658385,0.013204472645290056,0.3730573389208867
[6 6 3 1 1],0.6675358749627771,0.014514324628841096,0.30071542148755886
[4 4 6 1 1],0.6671370854158115,0.024526045293158615,0.23050120750815245
[6 1 3 4 5],0.6669386966704494,0.01844097675088871,0.3531987733509535
[6 1 3 2 1],0.6667314548776268,0.01716902947363622,0.36383729062056064
[6 6 6 1 1],0.6667310524663785,0.024928947323746706,0.2822753248869067
[6 1 3 3 6],0.6665354805997538,0.016006602529122744,0.3305032698424586
[6 1 2 6 4],0.6661222042478532,0.02189265656056785,0.3439787250506275
[6 1 4 6 5],0.6651254315860637,0.022573851995542724,0.4248314562996409
[6 6 3 3 5],0.6650401206007446,0.014792740796593765,0.2766939578556056
[6 1 6 3 5],0.664929859719439,0.024711230086687113,0.4092282976375506
[6 1 1 3 5],0.664929859719439,0.015263701086294938,0.33334020778102047
[6 1 3 2 5],0.664736299909055,0.01609625667383649,0.36454652510520114
[6 1 6 3 1],0.6645242291812541,0.023161312642670476,0.36312805613592014
[6 4 4 3 5],0.6638169527458826,0.020663277667351456,0.21103776446613987
[6 1 6 1 4],0.6637194066848556,0.023274279521962274,0.3063892973646826
[6 1 4 1 6],0.6635254444632237,0.02011567817032748,0.32128322154213246
[6 1 3 3 2],0.6613202308230919,0.01940824670851712,0.3262478629346157
[6 6 3 3 2],0.6589536576283809,0.01885608229075157,0.2756430797934469
[6 6 6 1 6],0.6585122051331578,0.021449254290682,0.31490011118036826
[5 6 2 1 1],0.6583089874528173,0.01765022869578072,0.30142465597219936
[6 6 6 3 5],0.6581181765653985,0.014364676110451674,0.3105642163501712
[6 1 5 3 5],0.6581130131749442,0.02187074126975197,0.39929901485258407
[6 1 3 1 2],0.6581073794174694,0.00845872253403513,0.3227016905114134
[6 6 1 1 1],0.6579009424471434,0.019792551900283256,0.35178030438167257
[6 1 3 3 3],0.6571118139894245,0.02898754493826379,0.3482341319584703
[6 1 6 1 2],0.6570993392407305,0.02148209016074502,0.3120631732418063
[6 4 3 4 5],0.6562974354964137,0.015408831696156177,0.3162961062492516
[6 6 4 1 5],0.6559025681885859,0.017165572088713152,0.29220460767187323
[6 1 4 3 4],0.6558876789724026,0.02933922182663869,0.355326476804875
[6 4 4 1 1],0.655498547295394,0.018508870084833984,0.2907861387025923
[4 1 6 1 4],0.6546957368552364,0.02110356326154953,0.3106447042725254
[6 1 6 4 1],0.6542897039058035,0.020623000527263097,0.38795126309833655
[6 1 5 1 5],0.6537013786609364,0.0167877319960479,0.3652557595898416
[6 1 3 1 4],0.6534893079331353,0.01263567861679809,0.30071542148755886
[4 4 6 4 1],0.6526836806142404,0.013359360814321736,0.2730552765865806
[6 4 3 3 1],0.6524828774013891,0.018642307377060425,0.26241675931697356
[6 1 4 3 2],0.651890930455288,0.01514951173627446,0.35036183541239163
[6 1 4 1 5],0.6516832862512173,0.023497051443352658,0.3851143251597747
[6 6 6 4 5],0.6516255660093109,0.026171291919282247,0.4111923713013476
[4 1 3 3 5],0.650801996007984,0.020901554516715132,0.3418977843099791
[6 4 4 1 4],0.6504756500953713,0.014740348767116503,0.2602890558630521
[6 5 6 1 5],0.6496744493002068,0.024699822528510607,0.4042636562450674
[6 4 4 1 2],0.6494760605548446,0.018131402616043877,0.2609982903476926
[6 4 3 1 1],0.6492833055669571,0.015557697015853135,0.31348164221108726
[6 5 3 3 5],0.6480895469217702,0.008074519573692885,0.2798204432551039
[6 6 3 1 5],0.6476716485179194,0.016984154958986676,0.3198647525728516
[6 1 5 1 4],0.6462680380842005,0.012586972853254788,0.3049708283954016
[6 6 6 1 4],0.6458603954897748,0.021310524366951238,0.3106447042725254
[6 1 2 4 4],0.6456587874544268,0.017939978466481616,0.37376657340552716
[6 6 3 1 2],0.6444668453372608,0.019635139252280807,0.31773704911893014
[6 1 6 2 1],0.6440583979203387,0.016525695867907326,0.48937179440192363
[6 1 3 5 5],0.6430668566047758,0.018203060353417698,0.3964620769140222
[6 3 3 3 5],0.6424774416654719,0.021721642612463635,0.34703987934431885
[6 1 1 3 2],0.6418491601677251,0.021168945111567423,0.3652557595898415
[6 1 3 3 4],0.6418475505227322,0.02415007801318605,0.33334020778102047
[4 6 4 6 1],0.6414503706207595,0.022008654785081908,0.41915758042251716
[6 1 1 1 5],0.6412547987541347,0.01845506731429609,0.35178030438167257
[4 1 3 1 5],0.6408187624750499,0.016774835327315888,0.31576097022016664
[6 1 3 4 2],0.6406503770593395,0.023983032255989835,0.3858235596444151
[6 3 3 1 5],0.6400564180569975,0.01796944879964625,0.3851143251597747
[6 1 3 2 6],0.6398544076104015,0.01875952359960792,0.40851906315291014
[4 1 6 1 2],0.6396439465275934,0.01941806703754059,0.3347586767503014
[6 5 1 4 1],0.6390403296552944,0.018894728187790852,0.40993753212219103
[6 4 4 4 5],0.6385225830818915,0.016380575504522297,0.35612655937488424
[6 1 6 4 2],0.6382342999251515,0.01632481101425259,0.36029111819735826
[4 1 3 1 6],0.6368318967251773,0.02465191696271636,0.32837556638853715
[5 1 3 3 5],0.6364171656686628,0.020439051837611216,0.30233936298485753
[6 5 6 1 1],0.6360367320987356,0.02503892827265343,0.43334227011532656
[4 5 4 2 1],0.6356207584830339,0.014414966023310835,0.38781380906235224
[6 1 4 2 5],0.6336307152457525,0.020282075686163328,0.4269591597535623
[6 1 3 6 4],0.6336291056007598,0.02447821079784562,0.4326330356306861
[6 1 1 2 5],0.6330198549709861,0.02049576011499021,0.38298662170585324
[5 5 4 6 1],0.6328234782818649,0.02486661849168974,0.44894542877741694
[6 1 1 1 1],0.6324315297261189,0.02592959866352941,0.3617095871666392
[4 6 6 6 6],0.6316165951359084,0.011413583706316562,0.38744191301065484
[6 1 6 2 5],0.630821884733322,0.021227956746783523,0.46100241501630485
[6 3 6 1 1],0.6306234959879599,0.022658943233899612,0.3865327941290556
[6 1 3 2 3],0.6304403988700293,0.03282412415032474,0.3588726492280773
[6 3 6 1 5],0.6304255096538458,0.024059728626174153,0.4063913596989887
[6 6 5 1 4],0.6300170622369236,0.01407770324688505,0.3262478629346158
[4 3 6 1 1],0.6294267249358154,0.030003575889541178,0.39220667000617937
[6 1 1 6 4],0.6290005714239724,0.02215745956457079,0.3567449457741559
[6 3 3 3 1],0.6286134518032047,0.01175611469351582,0.35532647680487495
[5 1 6 1 4],0.628605805989489,0.02443580055565186,0.3063892973646827
[6 1 4 1 3],0.6276150694964225,0.01900264095388596,0.41206523557611247
[6 1 4 5 5],0.6256086470129013,0.015143248033293588,0.4631301184702262
[5 5 4 1 1],0.62542874251497,0.023289344755683613,0.38993301020476956
[6 1 5 4 2],0.6254026124538232,0.019704698629484544,0.39433437346010075
[4 6 6 4 5],0.6249801604983852,0.01872164612806016,0.46419964820252246
[6 3 5 1 4],0.6243965843333252,0.019011627825160974,0.3219924560267729
[6 5 3 3 2],0.6236181526711588,0.013357437011849828,0.3017058410515925
[6 1 6 5 5],0.6228046454354492,0.02156809898914047,0.47235016677055236
[6 3 2 1 5],0.6227941827429959,0.012617502264833637,0.41277447006075296
[6 4 6 4 4],0.6227467811158798,0.02011070443796875,0.26959078281289683
