Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 6 5],0.8939586762646486,0.015105666264260381,0.10676612290192922
[6 1 3 3 5],0.8865231064049333,0.021656951782177827,0.11201691583153228
[6 1 2 3 5],0.8860213006412303,0.009519408243066614,0.12076823738087075
[6 1 1 3 1],0.8812016220406702,0.012816463044692477,0.096698363239186
[6 1 2 3 4],0.8811735941320293,0.013038916015621882,0.19103985164086432
[6 1 4 3 5],0.8805493452571064,0.009857522718267859,0.1682335836280262
[6 1 1 3 3],0.8790005367046335,0.015057962842951581,0.07684066364542458
[6 1 3 3 1],0.8787584232810544,0.013923895703860595,0.1010152544552211
[6 1 1 3 5],0.8783474191091566,0.016312486597472444,0.08051215825391385
[6 1 2 3 1],0.8770505098694018,0.009101127227774924,0.12173633229218951
[6 1 3 4 5],0.8738729331990271,0.03270599472191449,0.1366897866977713
[6 1 3 3 3],0.8731415111217128,0.018847226241532417,0.08806458080711582
[6 1 2 3 6],0.8728970123442066,0.016678721575791783,0.12950673648105265
[6 1 2 6 5],0.8708441200441058,0.018174453398734657,0.15473363549192176
[6 1 3 6 1],0.8706899636233526,0.03134566539656401,0.1649052444525404
[6 1 2 6 6],0.8700164868105515,0.013710250904560246,0.14091203562661092
[6 1 3 3 6],0.8687411294650843,0.013020801545631911,0.12000957580577547
[3 1 3 6 5],0.868680441245117,0.022850942793461265,0.1312698232400769
[6 1 6 3 5],0.8674477311254698,0.01486997636972155,0.0875132154933846
[6 1 1 3 6],0.8665394477905659,0.016233665430310892,0.09928849796880704
[6 1 2 3 3],0.8660480648816268,0.01296740440458104,0.12864335823784565
[6 1 2 3 2],0.8655608563420598,0.011949649010337515,0.1355503841835018
[6 1 3 3 2],0.8653121831951814,0.006267034452534306,0.12950673648105265
[6 1 2 1 6],0.8647286017339975,0.012016913583718921,0.15619165394756873
[6 1 2 1 5],0.8646998897358454,0.030507449315139955,0.14090269600661035
[1 1 3 6 1],0.8643371697775656,0.013746405821183416,0.10792228040087722
[6 1 2 6 2],0.8640034126544917,0.017831549656757376,0.18929749364297735
[6 1 2 1 1],0.8637618751152925,0.015173957087668999,0.16552919847704295
[6 1 4 3 6],0.863325183374083,0.016813624691397737,0.13139392511045872
[6 5 3 4 5],0.8624409837645132,0.015310220161314562,0.13621566214268463
[6 1 2 1 3],0.8621390661339376,0.018248376229822002,0.1398672753995369
[6 1 3 3 4],0.8621026894865527,0.029160002965037783,0.09335884152585225
[6 1 6 3 1],0.8614037807859741,0.010762118712675463,0.15454470553405616
[6 1 1 1 3],0.8613996064166021,0.018612957817272274,0.1415940318859509
[6 5 2 6 5],0.8610492724323562,0.028724851927726027,0.17913371790059204
[6 1 3 6 2],0.8601812868984435,0.014738869563346538,0.1398672753995369
[6 1 6 3 3],0.859208062496273,0.011460681180690092,0.11137579337370529
[6 3 3 3 5],0.8578003805944983,0.028447452426619325,0.16918505807530893
[6 5 3 3 2],0.857316808787397,0.016940658018988013,0.11886334849393498
[6 1 6 3 2],0.8572508795992606,0.020023145798829536,0.1493644360748141
[6 3 2 3 6],0.8570335456874867,0.015137973871123846,0.16265168090247462
[4 1 2 3 6],0.8569682151589243,0.01523955211955739,0.11151194960032351
[6 6 3 6 5],0.8563424386953798,0.017005744903959247,0.1648469796631215
[6 1 2 5 1],0.8549451076274032,0.016040437676430257,0.1789377795912168
[6 1 5 3 1],0.8548098420263862,0.013234174620537371,0.14002114478941535
[6 1 5 3 5],0.8548043141783161,0.025238748604728325,0.14877246633875382
[6 1 2 1 2],0.8543932161962736,0.01756529453906854,0.1663780661615406
[6 3 2 6 6],0.8543695197348316,0.022072452815189395,0.18234109490645842
[6 1 4 1 4],0.8534011252536432,0.021523788428678803,0.18844862595847967
[6 6 2 3 5],0.8528984198101843,0.012199161931411332,0.1179957328114975
[6 5 2 3 3],0.8528978176037001,0.016960851331098474,0.1457594346494969
[4 1 1 3 3],0.8528586249174761,0.018898432740123594,0.23263122117212154
[6 6 3 1 3],0.8526042101496809,0.014824096865439054,0.14677430134519304
[6 6 3 1 2],0.8523591150336932,0.008548419449799923,0.14073065364274387
[6 1 1 1 4],0.8517218917173952,0.017402073994879714,0.10525959287770935
[6 1 2 4 5],0.8514867683014525,0.017685165841851043,0.223888332918479
[3 1 4 6 1],0.8511002444987774,0.017407557468291007,0.174615611002057
[6 1 3 5 5],0.8505933223595312,0.01674746278080052,0.15664865573315842
[6 3 2 1 5],0.8498495196914233,0.014801841814738663,0.1811523560713061
[6 1 4 6 5],0.8497698835035237,0.025808477981537525,0.23512597125029455
[4 1 3 5 1],0.8497578782686434,0.015003595798967099,0.21612837025886403
