Configuracion,Precision,desvPrecision,errorMetrico
[4 1 2 6 1],0.8601330474082273,0.01709675249881093,0.12902788804364373
[6 1 3 3 5],0.8597652507186202,0.01718190396896069,0.10764125505686306
[6 1 3 3 1],0.8469747748822231,0.014854246653747455,0.14418416661557198
[6 1 3 6 5],0.8454002162002802,0.019620255643897012,0.14527193771901845
[4 1 3 3 1],0.8450325379609543,0.014301781610310335,0.15815852000480868
[6 1 4 3 1],0.8437652811735941,0.01688458354094821,0.21005739343316754
[6 1 2 3 5],0.8429182124167752,0.014494818130605177,0.15927405219795998
[6 1 3 6 1],0.8423388395253146,0.01768799163507213,0.1864897005327158
[6 1 3 3 3],0.8416047468543144,0.01709578059896712,0.16749537918216148
[6 1 3 4 1],0.8405867970660147,0.017177670484352373,0.16337797267024143
[5 1 2 6 1],0.8385481087300446,0.02458037780597947,0.1400382622887784
[6 1 6 3 5],0.8377085227133134,0.012766425491248757,0.1443968055640846
[6 1 6 3 1],0.835483332339436,0.023014017470955984,0.1830361875598878
[6 1 3 1 5],0.8317574871631084,0.013027300048997723,0.15489839142329076
[6 1 4 3 4],0.8315403422982884,0.012865840701147045,0.17548004471988896
[6 1 2 1 5],0.8312053550026366,0.013895326265749788,0.21005739343316757
[6 5 4 6 1],0.8289647154705403,0.0162684740784937,0.2169728631758233
[6 1 3 5 5],0.8278038473822569,0.018267348313919823,0.18727828115584308
[6 1 3 3 6],0.8276695092134296,0.017580641510150825,0.14418416661557198
[4 5 4 6 1],0.826770219090081,0.01310717940497597,0.19709088766568805
[6 5 4 3 1],0.8260263371250275,0.012807914865577016,0.1962725142326972
[6 1 4 3 2],0.8246943765281174,0.014300566079109778,0.21437956202232736
[6 1 6 3 2],0.8239978531814657,0.01814973187270436,0.19166996999195796
[6 1 3 2 1],0.82375693243485,0.009222653234681548,0.16922213566857544
[6 1 6 3 4],0.8229828850855746,0.018335778248657873,0.19795532138352004
[6 4 4 3 1],0.8227383863080686,0.017297316533813188,0.12015628677864316
[6 1 2 3 6],0.8225439799630271,0.023752481259265143,0.18476294404630184
[6 1 3 3 2],0.8222869580774047,0.015978742908237132,0.1554080837772632
[6 6 3 3 1],0.8213125409982706,0.01366364284661825,0.1683587574253685
[4 6 6 1 2],0.8209584255672384,0.019869531813889132,0.16722693384603826
