Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 3 5],0.9145198142643048,0.008447463194879523,0.06826030808483999
[6 1 3 6 5],0.90931380979289,0.015718401231952336,0.0892634798032523
[6 1 3 1 5],0.9023720610274427,0.011416312842992717,0.10589099074699537
[6 1 2 3 1],0.9017341523048483,0.015190745368833372,0.10964903688729127
[6 1 1 3 3],0.9014872681734152,0.013594463312833175,0.06388998999731932
[6 1 2 3 5],0.9001381962017542,0.016620654842482173,0.10939151936673075
[6 1 1 3 5],0.8996499029555561,0.014597123762639812,0.07701162963417844
[6 1 1 3 4],0.8995110024449879,0.013050372758026901,0.0873078055010285
[6 1 2 3 4],0.8992665036674816,0.012695114900486226,0.11496968447165137
[6 1 3 3 1],0.895867374321665,0.009046979546093232,0.08892795905032283
[6 1 3 2 5],0.8946914232366165,0.013030967620130241,0.1163925766062015
[6 1 6 3 4],0.8943765281173593,0.015300232613361404,0.1573269366454177
[6 1 2 1 5],0.8940703053837671,0.016909132684467653,0.13485165998178658
[6 1 1 3 1],0.8939107877631344,0.01960943021232841,0.07856742013183862
[4 1 4 6 1],0.8930559398634939,0.019048837195464415,0.13242335878163436
[6 1 6 3 1],0.892691871906494,0.01859910056359585,0.10878565864408425
[6 1 3 1 3],0.8924443914365794,0.01133137897740168,0.08461106783428775
[6 4 1 3 2],0.8921760391198044,0.015824568337686456,0.07866346832270885
[6 4 6 1 2],0.8916165144807232,0.012837374194593725,0.08488676844976561
[6 1 4 6 1],0.8913772827891533,0.0110507910031552,0.15024958015608514
[4 1 1 6 1],0.8906532466334625,0.012712912255535213,0.1434586386801039
[6 4 6 3 2],0.8904558170149747,0.0123916929927102,0.07447734862376469
[6 5 3 4 5],0.8901972828443416,0.010327170930870494,0.118863348493935
[4 5 3 6 1],0.8897200452055131,0.016273641090514105,0.11478437216287204
[4 1 3 3 1],0.8895892671885315,0.01912014005716385,0.10441533359540768
[6 1 3 3 4],0.8894865525672371,0.013908520932350009,0.1045964798576678
[6 1 6 3 2],0.8885371817043353,0.015029226379805673,0.10792228040087722
[6 1 3 6 4],0.88679706601467,0.015270901192789427,0.12015628677864316
[6 1 3 5 5],0.8865114365034519,0.0191769703435548,0.12164336953580458
[6 1 6 1 4],0.8860974681793028,0.02292211244198403,0.10525959287770936
[6 5 2 3 2],0.8860486823722118,0.01982616781650562,0.1318775837304972
[6 6 3 3 5],0.8860444669268197,0.015896197398733113,0.08936441529106061
[4 1 2 1 4],0.8859961594700774,0.013048201077946853,0.110554995169775
[6 1 4 1 5],0.8854900762260896,0.01366816208116652,0.1711578761307291
[4 1 3 3 5],0.8850650801928459,0.0102975107895042,0.09134482063770857
[6 1 6 1 2],0.884899003873824,0.01581124923478454,0.14260977099560623
[6 1 6 6 4],0.8848938157166575,0.017911364808589188,0.15449391857857342
[6 5 3 6 5],0.8848225899696487,0.011446624031498844,0.13361281509537218
[6 1 2 3 3],0.884375335440396,0.01176867805158815,0.09928849796880704
[6 1 6 1 6],0.8839409241837298,0.015376028872759056,0.10441072519321172
[6 1 6 1 3],0.8838911085932375,0.0045496788872004075,0.10792228040087722
[6 1 3 1 2],0.8838899159162741,0.01695805911843764,0.10446876742804916
[6 6 1 3 2],0.8836442244618045,0.022506836624564396,0.07943079837504563
[6 4 6 3 1],0.8836185819070904,0.009669300700872959,0.08557893806536455
[6 4 3 3 5],0.8835615695909812,0.0236436429272857,0.09196726233837306
[6 1 1 5 5],0.8835532623807468,0.023536324793718946,0.13744496113528248
[6 6 2 1 5],0.8833159547437557,0.019475758119807233,0.10718978101116368
[6 1 4 5 1],0.8832913850136631,0.016463298981763436,0.14003826228877836
[6 6 6 3 4],0.8829397729142668,0.012756646659777538,0.09759100854148478
[4 4 6 3 2],0.882936834434284,0.013885945400507345,0.07875765601593507
[6 1 3 2 1],0.8829137098216948,0.008979762121644913,0.1070589021576702
[6 1 3 2 2],0.8819375037271154,0.014901237070944104,0.10446876742804916
[6 1 3 4 1],0.8819070904645476,0.016366814641740394,0.11496968447165136
[6 1 6 1 5],0.8818411716764946,0.014909016692897528,0.13571609369961857
[6 5 3 1 3],0.8818195219025624,0.01555446954608773,0.1461470698739523
[6 4 1 3 4],0.8816625916870416,0.019566013715151633,0.0873078055010285
[6 4 4 1 2],0.8815215135583842,0.0077855610324809804,0.13072562341263905
[6 4 3 1 3],0.8811735941320293,0.013221032601071648,0.12015628677864316
[6 1 2 5 1],0.8811100723908145,0.012532156608630619,0.1443604308779382
[6 3 3 1 5],0.881078176055819,0.012362968994759482,0.12776929462034153
[6 6 3 3 6],0.881029173229272,0.01493613580477434,0.08132584045123731
[6 6 3 1 5],0.8808367933567551,0.020093728964781246,0.11639257660620152
[6 1 6 1 1],0.8808263004980631,0.00968581961741298,0.1375165648886203
[6 1 3 1 4],0.8806845965770173,0.014864238780998193,0.10805421472899565
[6 1 5 3 4],0.8805548731051764,0.014957564107270482,0.1480806022559189
[6 6 6 3 1],0.8802188562227921,0.019951917956171582,0.11482930634653336
[4 5 4 3 1],0.8797548983088728,0.01875547763659981,0.14272628224641964
[6 4 3 1 5],0.8795629314792521,0.017303259223659443,0.10251734002332846
[6 6 4 3 4],0.8795452408378195,0.014772991185983303,0.08475008636497362
[6 1 3 1 6],0.8792474208360666,0.009157027395087645,0.09842511972560002
[6 4 4 3 1],0.8789731051344744,0.007516100806327324,0.0769346008870449
[6 1 1 1 5],0.8789095833932595,0.014012019306421186,0.13830939485311444
[4 4 6 1 2],0.8788801650986903,0.011677459147754064,0.10950393130019763
[6 5 3 1 5],0.8788461538461538,0.014511273427736173,0.11726770876113538
[6 1 3 4 4],0.8787286063569681,0.013533841078824485,0.13052949139262673
[6 1 2 5 5],0.8786560956901098,0.028418333640209965,0.1642424063880734
[4 4 2 3 1],0.8785194882134292,0.01336412524595082,0.1011255331172901
[6 1 3 2 4],0.878484107579462,0.014753227228895441,0.1166985519073153
[6 4 3 6 5],0.8781639928698753,0.012856553952118755,0.14315658760218447
[6 4 2 1 1],0.878158434790629,0.013429019695396104,0.09761978371723046
[6 4 6 1 5],0.8781449254518433,0.014914307347229275,0.10113874498633994
[4 1 3 4 5],0.8781361415906599,0.017201808663996412,0.1011317657060345
[6 1 5 3 1],0.8781011227673636,0.013201051027062627,0.07876189394404613
[6 1 3 1 1],0.8780183672252372,0.011389072241389386,0.11914619756256847
[5 1 3 3 1],0.8775465538597192,0.01198682263947158,0.0970855992475809
[4 4 3 3 1],0.8772045647458266,0.01736575472740177,0.07831150019655576
[6 4 6 1 4],0.8772038138719793,0.018535821191510208,0.0950731806637375
[6 4 6 1 1],0.8771986257148127,0.014181120674814657,0.11205053435369063
[6 5 6 1 3],0.8771147089895095,0.013906197017779358,0.16452484512756302
[6 1 3 5 3],0.8766055327617129,0.006813263573822358,0.14352167340915073
[6 4 1 3 1],0.8765281173594133,0.017875185062527357,0.08385007062970064
[6 2 3 6 5],0.8764633617574795,0.016249276321011658,0.11192242303443514
[4 5 6 6 1],0.8764358310561388,0.013656312964338361,0.1616491052345775
[6 6 4 1 5],0.8764346325327198,0.015501222820076878,0.13571609369961857
[6 4 3 1 2],0.8753056234718827,0.01374422427633759,0.08817223921886044
[6 3 6 1 2],0.8748518098872922,0.019823615887126524,0.11482930634653336
[4 1 3 3 6],0.8748166259168704,0.01595061753574579,0.09335884152585225
[6 5 6 1 2],0.8745062083513112,0.012227974522729682,0.1391738285709464
[6 3 3 4 2],0.8744634335550907,0.019607404293075715,0.13525771359258415
[6 1 1 1 2],0.8743393746541228,0.012351705556861067,0.11120166666919296
[4 1 6 3 2],0.8743276283618581,0.017873512843517902,0.1547336354919218
[6 1 6 5 5],0.8742671029291913,0.01911594395602141,0.13052949139262676
[6 1 5 1 4],0.8742341435351646,0.013243697014140741,0.13744496113528248
[6 1 2 2 1],0.8740938018815717,0.016061705995448778,0.19014636132747498
[6 2 2 1 5],0.8740190085814277,0.01053273333854751,0.13744496113528248
[4 1 3 1 5],0.8735262502527643,0.014758547393557496,0.098685029438953
[1 1 3 6 5],0.8728975751173131,0.018634661242649956,0.09626453704272306
[4 4 2 3 6],0.8727602905569007,0.012577614065625001,0.08646220932184177
[6 4 1 1 5],0.8727569634210652,0.014854301705696283,0.12102072049647514
[4 1 3 3 2],0.8724040400179641,0.013338613464875484,0.12968770659316595
[6 6 3 1 4],0.871882640586797,0.010999727999219559,0.1166985519073153
[3 1 3 3 5],0.871824680368652,0.01575065749360965,0.10841225249313201
[4 5 3 3 1],0.8716893179084939,0.010189723212356913,0.11336544704144189
[4 1 4 3 1],0.8715490898802226,0.013940038954861256,0.12053828951822798
[4 5 1 3 1],0.8714583710262769,0.017483883693875362,0.14925091229197027
[6 3 3 1 4],0.8713936430317849,0.008623565813471103,0.099409877550676
[5 1 3 3 5],0.8713680641572019,0.008768672020542934,0.0946584592663914
[6 4 1 4 1],0.8709480492529055,0.007536956030666602,0.10525959287770935
[1 1 2 3 5],0.8709109230995317,0.01645948928632726,0.13672888560700977
[4 4 4 3 1],0.8709025747429973,0.01501734444545645,0.08061477961410152
[4 5 1 3 3],0.8707628697012589,0.017310570119424527,0.1231523921097678
[6 5 6 3 2],0.8700817796406032,0.022313166417217093,0.12406904258855989
[6 5 1 3 6],0.8699205218288579,0.024761287487425343,0.1216433695358046
[6 3 4 3 5],0.8698095823095823,0.01437953341074256,0.16918505807530893
[6 1 1 5 3],0.8696619413802422,0.015295627813576568,0.1102666515216646
[6 4 6 4 2],0.8696613251505851,0.011011713696882221,0.10354063581660161
[4 1 6 1 1],0.8694999769415237,0.010781031972669183,0.16807580153053595
[6 3 6 1 5],0.8694217870918605,0.012806998229604122,0.13214495539501075
[6 3 3 5 1],0.8686927253519396,0.021601345161611555,0.15664865573315842
[6 6 4 4 1],0.868543626637152,0.014239643439179736,0.15619165394756876
[6 5 6 2 1],0.8683943381753678,0.023042648996174708,0.13830939485311441
[6 5 1 2 1],0.8683901433434009,0.015124355033384504,0.1365805274174505
[6 3 1 3 1],0.8682425904943646,0.019293479121967355,0.13382362769708775
[4 1 6 1 2],0.867578629404169,0.022102948420359703,0.15449391857857342
[6 1 5 4 1],0.8668973824248525,0.013915890842418977,0.16510684010590537
[4 4 3 3 2],0.8666203188728216,0.024734742008460247,0.09656189377493715
[6 3 4 1 5],0.866424465027148,0.012888319281188599,0.15421411832569068
[6 1 5 1 5],0.8661920513926841,0.014649556409841951,0.12534288908563496
[5 4 3 3 1],0.8661481891423037,0.01595293901582992,0.08645134810354561
[6 4 3 1 4],0.8660146699266503,0.017725739814564153,0.12361402164997105
[6 4 1 1 2],0.8658988194060135,0.010505809358032298,0.10016638677072343
[6 3 6 3 1],0.8657987953962669,0.012763865317215607,0.1372771406699158
[6 5 4 4 1],0.8656635025648403,0.01713292686156374,0.18066664702688073
[4 4 2 3 2],0.8655380978865406,0.011622856346377103,0.08743793530801394
[6 1 1 1 1],0.8652047592695075,0.01830787436393117,0.1264812849901508
[4 4 6 4 1],0.86493843386829,0.011237180077299036,0.1162948727761789
[6 5 6 1 4],0.8649336018025793,0.012509575714091243,0.15386920177408983
[6 1 6 5 2],0.8647196653722613,0.01728472588682717,0.17029344241289715
[5 5 3 3 1],0.8644957277517686,0.010182899251766945,0.11650271909709707
[4 6 2 4 1],0.8644582410994281,0.011353522284504288,0.12648128499015077
[4 5 5 6 1],0.8644464020326957,0.012060132436089676,0.15819137036324962
[4 5 3 3 5],0.864318181818182,0.01639044521100255,0.12213662584131277
[2 1 2 3 5],0.8642663699536035,0.010802167381870498,0.11569367243670059
[6 4 3 2 2],0.8642657326218293,0.01354787552147639,0.13525771359258415
[6 3 6 3 5],0.8641909958086428,0.013577453880373696,0.1474946660143719
[6 6 5 3 2],0.8639471021823963,0.019826198756750086,0.13014235236562224
[6 2 3 3 1],0.863836245452919,0.020301975556840414,0.11396592810332636
[6 4 6 2 1],0.8637359343294595,0.015116870456789383,0.12138807888316483
[4 4 2 1 4],0.8631093317830276,0.01732578390733807,0.12391063217015053
[4 1 1 1 5],0.8628108921562646,0.019987793349543776,0.15306031791185698
[5 6 1 3 1],0.8627429182124168,0.01684708071328742,0.1330200875499446
[4 5 3 6 3],0.8626878884231826,0.017591351968975877,0.1414213562373095
[6 2 3 4 5],0.8626854795972443,0.016105433112021398,0.09717295643299796
[6 4 1 2 1],0.8625328583287215,0.00990173066461752,0.12902788804364373
[6 2 3 1 3],0.86237879420359,0.02041188800412234,0.11223917161691231
[6 3 5 1 2],0.8619917450802153,0.017772495552719043,0.13039469108514304
[6 6 3 6 3],0.8618885023155223,0.020162916819750992,0.14553045133379308
[6 2 1 3 2],0.8616447015325898,0.020508497212212397,0.11655606283294742
[6 2 2 3 2],0.8616375561249677,0.016172626685988116,0.155803189075002
[6 4 3 2 3],0.8616111098051199,0.012209554852260157,0.13183346767884785
[6 5 3 1 1],0.8612583839029064,0.015707120827798373,0.13739574832461382
[6 3 6 3 2],0.8606684454265497,0.018932062852499393,0.21658355404382149
[6 1 2 2 4],0.8606103578675521,0.015800007546890992,0.14600524173359686
[6 5 1 2 2],0.8605631861546575,0.015232357184403357,0.15041146690276197
[6 3 5 3 1],0.8605145812347985,0.01704643940942112,0.1408962769443492
[6 4 5 3 4],0.8604711663535193,0.02087271013025612,0.09196726233837306
[4 5 2 4 6],0.8603046616046452,0.014559520175618063,0.1465639510095753
[6 2 3 1 5],0.8602566149915241,0.01327138296437096,0.10151532997232614
[6 2 1 6 5],0.8598272927753008,0.02380241174901878,0.13485165998178655
[4 1 5 3 1],0.8596891263396514,0.015952797403847394,0.11989007708699251
[5 1 1 3 5],0.859462977347637,0.01288763731103171,0.10841225249313201
[6 5 5 3 1],0.8590288185146058,0.016001493880216877,0.1610243165078277
[6 2 3 2 5],0.8590258707905767,0.013158983150770832,0.1197309641763725
[2 1 3 3 5],0.8587812021077825,0.017191797290462302,0.10760320583273551
[3 6 3 1 5],0.8585405252684077,0.02292897757659483,0.15664865573315845
[6 3 5 1 1],0.8585276269562441,0.016714122068097186,0.1522729949584892
[6 2 6 1 2],0.8584716841911086,0.01603444039521564,0.1680758015305359
[2 1 2 3 1],0.8583994265285678,0.01400653949927482,0.10901860437993882
[6 4 5 1 4],0.8583243444076898,0.016919034083692403,0.08644337178319653
[3 6 3 3 6],0.8580149980018336,0.010254663036723257,0.09673494706305069
[6 6 1 2 5],0.8578742988637998,0.02342979171648895,0.14781816574926607
[4 3 6 3 1],0.8577017114914426,0.01498440434820984,0.18412438189820862
[3 1 3 1 5],0.8576265404236558,0.014032336291038502,0.1294474656634412
[1 6 2 1 2],0.8567982152739345,0.010284595563267577,0.1298767557281414
[6 2 6 3 2],0.8567908272408848,0.013655222764495545,0.2217199229144259
[5 4 1 3 1],0.8566862847351562,0.018208233818515527,0.10847197450727891
[6 2 4 1 2],0.8565272781774581,0.014439119596643436,0.14770297710259217
[5 1 5 6 1],0.8564031113667963,0.01755531385016869,0.13658052741745053
[5 4 4 3 1],0.8562153446642757,0.014969782342914633,0.06932419423397525
[3 4 2 3 1],0.8560213276255817,0.016139120466396685,0.09263407613797567
[6 3 4 1 6],0.8555012224938874,0.024239929898687722,0.15214033433842586
[3 1 3 3 2],0.8551855970444164,0.01900281081289297,0.10296201524771999
[6 3 6 4 4],0.8550747549307693,0.01832499154201712,0.1566592505534361
[3 4 6 3 2],0.8548196948682385,0.014256124730817846,0.08646220932184177
[4 1 5 1 5],0.8544633233685153,0.014181887598775974,0.1506687504444842
[5 1 4 6 5],0.8539245649359989,0.010120671420660116,0.17634447843772094
[4 1 3 1 6],0.8537897310513447,0.019887236584511248,0.13312279254612264
[6 1 5 4 3],0.8537878043387466,0.0163705391665694,0.1594714178140665
[5 4 1 3 2],0.8532242100445929,0.01595859965228633,0.07911113930230118
[6 5 6 4 3],0.8531091920797804,0.021484842429050865,0.13534804646024715
[5 1 5 3 1],0.8530535553082945,0.018318177328795135,0.14158316556938882
[5 5 3 3 4],0.8529545454545454,0.012113870882942215,0.12454721714081235
[6 5 5 3 6],0.8528954087777617,0.023350826820560753,0.1527003601089968
[5 1 3 1 5],0.8528215732790294,0.012769997949653129,0.11973890573868311
[3 1 3 1 4],0.8522073941337359,0.014920983909590957,0.12744812777086525
[3 6 2 3 6],0.8517107830461457,0.017412397990138134,0.11043193071799592
[6 2 3 1 2],0.8516196553163576,0.01290358591628665,0.13209687121067373
