Configuracion,Precision,desvPrecision,errorMetrico
[6 1 3 6 1],0.8777798318325483,0.015037209111276964,0.12864335823784565
[6 1 3 6 5],0.8758776994324743,0.01906969886465533,0.12076823738087077
[6 1 3 3 5],0.872900646144019,0.017856263421211837,0.1102666515216646
[6 1 2 6 1],0.8716986026563365,0.012775389302599112,0.17232013995302417
[4 1 3 6 1],0.8704156479217604,0.0223017198063401,0.13830939485311444
[6 1 2 3 5],0.8699149939807876,0.012168532982418677,0.1330200875499446
[6 1 3 3 1],0.866292563659133,0.011921958657567634,0.09583498499597898
[6 1 2 3 1],0.866290178305206,0.010901447751831559,0.1312334929674667
[6 1 3 4 5],0.8627023806599023,0.017739769122134322,0.12617518772101965
[6 1 2 6 5],0.8610527829713792,0.020189594126112886,0.15559806920975375
[6 1 2 3 6],0.859448386904407,0.021428011929377353,0.12864335823784565
[6 1 4 3 1],0.8581907090464547,0.008182494147032525,0.14695373203143408
[6 1 3 1 5],0.8577813674667715,0.012376171310745051,0.14002114478941535
[6 1 2 3 4],0.8577017114914425,0.006722604931475577,0.15041146690276197
[4 1 2 6 1],0.857012082641579,0.013863546260436727,0.17232013995302423
[6 1 3 1 3],0.856517979605224,0.01569607999467965,0.17181227039819652
[4 1 4 6 1],0.8560476618705037,0.014119227506691586,0.1799599491135031
[6 1 3 3 2],0.8555310394179735,0.012917611043020864,0.1355503841835018
[6 1 3 6 3],0.8540753771840898,0.0207030737942973,0.1269166017514316
[6 1 2 3 2],0.8540717991531993,0.017203874694541408,0.1795826745870597
[6 1 1 3 5],0.8540654251529372,0.0202869468131313,0.10501585859206151
[6 1 3 3 4],0.8528117359413203,0.0122151550090922,0.11842741934297925
[4 1 1 6 1],0.8522003551005349,0.01788813379175726,0.17486674300651717
[6 1 2 1 5],0.8520045304185244,0.011351539210120885,0.18498881561604058
[6 1 4 3 4],0.8518337408312959,0.011053940885532845,0.17115787613072914
[6 1 1 6 5],0.8517594323793085,0.012830392711748854,0.15041146690276194
[6 3 3 3 5],0.8516693163751988,0.012824166533375406,0.1613765169333716
[5 1 3 6 1],0.8515895634228435,0.024595467403286664,0.12426876600060614
[6 1 6 3 4],0.8513447432762836,0.010419205747023222,0.18325994818037664
[6 1 2 6 6],0.851283204205866,0.017246236971492458,0.16552919847704295
[5 1 2 6 1],0.8507802387458652,0.01900289631949862,0.11496968447165137
[6 1 4 6 5],0.8500065918788053,0.00892047343799433,0.19795532138352004
[6 4 3 4 1],0.8496332518337409,0.007355310003174253,0.12188515421430711
[6 1 3 3 6],0.8494304967499552,0.013515231216099011,0.1105124151304983
[6 1 6 6 5],0.8493114482956996,0.011887621476416373,0.18325994818037664
[6 1 2 1 6],0.8491180132816822,0.012151679126649998,0.1587382570010617
[6 5 2 6 1],0.8490669495181935,0.007957774587370564,0.1642424063880734
[6 1 4 3 5],0.8488237967717367,0.018485094201654954,0.18488169867454962
[4 1 3 3 5],0.8481385894147573,0.01811556678659408,0.09705387192756534
[6 6 2 3 1],0.8474673504681256,0.015534100262558815,0.14332078837236495
[4 1 3 6 5],0.8470874382723632,0.016741876874034882,0.1472043856745229
[6 6 3 3 5],0.8470028183263476,0.017658952144251738,0.14489181896705944
[6 1 6 6 6],0.8469412931193506,0.020418950824948587,0.2020305089104422
[4 1 2 3 1],0.8468409887915301,0.015134460397136737,0.16133768260697431
[6 6 1 3 2],0.8460087065418331,0.02217897424927559,0.15281794904764215
[6 1 2 6 2],0.8459912838959601,0.018685193152731146,0.18590202290498672
[6 5 4 3 2],0.8457411957411958,0.01877464480028111,0.14315658760218447
[6 1 3 6 4],0.845476772616137,0.016284426215498003,0.16078467151674553
[6 6 2 3 2],0.8449228942852441,0.010846749526743539,0.14553045133379308
[4 1 6 6 5],0.8448685219809194,0.01773293802159015,0.16683570754156932
[6 4 2 1 5],0.8446288172970899,0.022419237133827423,0.1322583588282907
[6 1 3 6 6],0.8445375395074246,0.014422914662863972,0.1493644360748141
[6 1 6 3 5],0.843902783578606,0.014040529428788593,0.1408962769443492
[6 4 2 3 4],0.8436828557323868,0.014369406532252327,0.10358343889052332
[6 1 3 6 2],0.8435583517204364,0.018625745594101503,0.1502278143180211
[4 5 4 6 1],0.8431606261086342,0.012739083504424006,0.19622645394785615
[6 4 3 3 5],0.8425452859276387,0.021902300352878146,0.12753950531830982
[6 1 3 2 5],0.84241517824239,0.01464695260640745,0.16802537374729845
[6 6 1 1 5],0.8422161896543459,0.013730116596410314,0.1685645749772332
[6 1 3 5 5],0.8421756381593493,0.014469372995917383,0.16890050590223227
[6 5 4 3 6],0.8418063785710845,0.0143928803664877,0.13621566214268463
[6 4 4 3 4],0.8414883988810269,0.008968148497870502,0.09673494706305069
[4 5 2 3 1],0.8414560296293143,0.020634806146422286,0.17045595994000975
[6 5 2 3 6],0.8411120344943874,0.015653427830852475,0.15443559147387176
[6 5 3 6 1],0.8406874186177923,0.022189217088240842,0.17852695960650458
[6 1 2 6 3],0.8403780785974118,0.02111301086389113,0.12346308877860354
[6 6 3 3 4],0.8400432544253509,0.012294318253003866,0.14638651281222717
[6 3 2 6 1],0.8396398115570397,0.0239541958791132,0.1649052444525404
[6 6 3 1 5],0.8394528658821218,0.019196825566407418,0.1767766952966369
[6 5 4 3 4],0.8393445584622056,0.01348966876918033,0.19174306581868344
[5 1 2 3 1],0.8393235781915898,0.008467921678627552,0.14643744553176785
[6 1 4 1 5],0.8389909631334195,0.015576523853104075,0.23599040496812654
[6 1 3 5 1],0.8387158194727661,0.01937631205615976,0.1785269596065046
[6 1 5 6 1],0.8380615082218708,0.017636578155072666,0.21437956202232736
[6 1 6 3 2],0.8379324944838691,0.014427906063923378,0.1856263222895088
[6 1 2 5 1],0.8375713121434393,0.01297342803048573,0.18412438189820857
[6 5 3 4 5],0.8373837741484801,0.01597802230438858,0.15183274442655928
[6 6 3 6 5],0.8369381413499062,0.020703949182348125,0.16831744239287147
[6 5 2 3 5],0.836437707761237,0.013886958637570432,0.16224413261580908
[6 1 1 6 4],0.8363378527946873,0.015553215277350053,0.16213372773905232
[6 5 3 3 5],0.8359420918244448,0.020790503411671043,0.1518327444265593
[6 5 1 6 5],0.8358556258689296,0.017631999070883926,0.22388833291847898
[6 1 3 2 3],0.8352507603315642,0.013587009469679777,0.1502278143180211
[4 1 2 1 6],0.8348938157166576,0.010559897290911334,0.17486674300651717
[6 6 6 3 5],0.8342282121693886,0.01513061599686398,0.1648469796631215
[6 1 2 6 4],0.8341766971038554,0.01859879710868328,0.16468033079254532
[6 1 2 4 5],0.8338648784697252,0.020734012463589562,0.19968418881918398
[6 4 4 3 5],0.8336970660500074,0.015624375353864416,0.1292747366831848
[5 1 3 6 5],0.833257990811488,0.024733082263126337,0.11551744445126769
[6 3 2 1 6],0.8330514640109726,0.016402784250416764,0.17267564864140356
[6 6 3 4 5],0.8329575564869682,0.02358352592669533,0.19261068150112093
[6 4 3 3 4],0.8320400103434495,0.019807726515281978,0.11043193071799592
[6 5 2 3 3],0.8320253408488704,0.016043489817565513,0.17265552080505883
[4 1 2 4 1],0.8318253087398482,0.019246648364979066,0.21369019200600806
[6 4 3 6 5],0.8314905814905815,0.010499913111961467,0.18306690899430864
[4 6 2 6 1],0.8312920817192401,0.016065305902767217,0.16722693384603832
[4 1 4 6 5],0.8311604103744188,0.017146285477234124,0.20659965856183968
[6 6 4 6 1],0.830818806493267,0.016826987417769394,0.20712371501742813
[4 1 5 6 1],0.830687592885565,0.015374141380732686,0.2126506945866635
[4 4 4 6 1],0.8303322726434237,0.016240850533741427,0.19099522901197266
[4 1 2 3 2],0.8302337247857204,0.01597486946546212,0.16828523831732248
[6 6 1 1 2],0.8301276286662977,0.01926818686002585,0.14091203562661092
[6 4 6 6 5],0.8299783727873244,0.014536982784805749,0.15599204142539597
[6 1 4 1 6],0.8296076600258255,0.017254651620425845,0.21051918575541873
[6 4 3 4 5],0.8295219684925567,0.018942802647918824,0.15530320715630921
[1 6 3 3 1],0.8281662591687041,0.017857719379881985,0.10792228040087722
[5 1 3 3 5],0.8276499485650705,0.013336949863159373,0.14158316556938882
