Configuracion,Precision,desvPrecision,errorMetrico
[4 1 4 6 1],0.6923855146651909,0.018300232320351315,0.3836881933929406
[6 1 4 6 1],0.6719470577384246,0.023863247921900952,0.4040610178208844
[4 1 4 1 1],0.6713041640427534,0.019013054666282732,0.3029409757573073
[4 1 6 6 1],0.671224750968456,0.03640711550602449,0.41679403308834917
[6 5 4 6 1],0.6643163622417182,0.029729804379590104,0.4088771485345196
[5 1 4 6 1],0.660624310849034,0.021419756256609593,0.33540028251880255
[6 1 4 4 1],0.6580110911270983,0.024961891750259566,0.40321215013638667
[6 1 6 6 1],0.6578560228740085,0.01869007320915879,0.4133985623503586
[4 1 5 6 1],0.657433841507263,0.027597934267459427,0.39850394392053595
[6 5 4 4 1],0.6547599357591448,0.026665990411819142,0.397639510202704
[4 5 4 6 1],0.6523155472457932,0.01946681879604496,0.34750235456845
[4 1 1 6 1],0.6517731968271537,0.019527700198554078,0.4100030916123679
[4 1 4 3 1],0.6461619353013298,0.022001979632801528,0.37620230486580714
[4 1 3 6 1],0.6444987775061125,0.015119437490210564,0.4036905462275278
[4 4 4 6 1],0.6414378112894299,0.022959656302334,0.34633801527504376
[6 4 4 4 1],0.638550890057185,0.029880346109324232,0.28776614504470543
[6 1 4 6 5],0.637885325279256,0.024955376471129546,0.4538277018617818
[4 1 5 3 1],0.6367322612573301,0.026503623621173117,0.3931089602444244
[5 5 4 6 1],0.6334765568819215,0.018458399071089374,0.4261658228911589
[6 1 1 6 1],0.6326219793396052,0.020623378578061423,0.3582221628580109
[4 5 4 4 1],0.6324476847050211,0.025594236502014353,0.3547491743269602
[6 1 4 6 4],0.6313318575908504,0.022087518918928524,0.3709551781254758
[6 1 2 6 1],0.6304688941154768,0.030739480068163107,0.41254969466586094
[4 2 4 1 1],0.63027059880556,0.022709940529915512,0.3442786426763464
[4 1 4 4 1],0.6300040544853823,0.02523802915380402,0.3528198773347815
[1 1 3 6 1],0.6291848052954856,0.03401490653752061,0.30304576336566325
[6 1 5 6 1],0.628674073541397,0.024857399182267727,0.40196167879186384
[4 4 4 3 1],0.6281170423465057,0.024987923195581827,0.23339898097797013
[4 1 2 4 1],0.6269273118052253,0.03226892112789773,0.4273803840120161
[4 6 4 6 1],0.6255643562073419,0.02735762391883211,0.454144211206246
[5 1 6 6 1],0.6249940073829043,0.01829826824043641,0.47457411108974895
[4 4 2 1 1],0.622928668322675,0.019352385503799387,0.32869706617590827
[6 5 6 6 1],0.6218346996500312,0.029825185425723155,0.46592977391142926
[4 5 4 3 1],0.6212715914049445,0.027495275181526592,0.40697379909121945
[4 5 4 1 1],0.6209327273097024,0.0325781777320879,0.43845403568500696
[6 4 4 1 1],0.620288576830843,0.017939453259250296,0.2453227608198226
[6 5 5 4 1],0.6165582002972338,0.0390768009078861,0.3812152695638967
[5 1 5 6 1],0.6149731530754111,0.018678363760338906,0.4633364727579333
[4 5 6 6 1],0.6141389807756843,0.019795598861552497,0.44259006352996627
[6 1 6 1 4],0.6140282005165097,0.030299950071541053,0.30134802799666793
[4 4 4 4 1],0.6134052501272418,0.024301351266885447,0.34695177126684335
[6 1 3 5 5],0.6127502886765103,0.025463780626238715,0.4725713636642768
[6 4 4 6 5],0.612665436423047,0.01930930679734724,0.37283812098927055
[4 1 3 4 1],0.6122493633877204,0.025989679563316492,0.39155750098277886
[3 1 4 6 1],0.6122249388753056,0.04519194660366561,0.449505533272622
[5 1 4 6 5],0.6119378925164198,0.024301951076910615,0.4209792205841671
[6 1 5 6 5],0.6095887866148905,0.030508904840245148,0.4278946903268228
[4 5 2 4 1],0.6092970521541952,0.017181266883913467,0.4016558927148076
[6 1 4 6 2],0.6089824294410626,0.021970406168064446,0.5033785369071101
[6 5 5 6 1],0.6088492976652764,0.03273797230269626,0.45123440070828585
[4 5 4 2 1],0.6086167800453514,0.023218005870603547,0.41608664335126777
[6 4 6 6 1],0.6080168557461724,0.022096883281542138,0.44226006362327885
[6 4 3 1 5],0.6079515023462644,0.03302321506339923,0.32069526879092497
[2 1 4 6 1],0.6077747417450655,0.029981272226826346,0.43716685751629286
[6 1 6 6 5],0.607133012129057,0.0186481549996652,0.48926948429289235
[6 4 4 6 1],0.6070703052942261,0.03157780298618842,0.3200231170556164
[6 1 6 5 1],0.6051896064049092,0.02466896341085748,0.4702519425005891
[6 1 5 4 1],0.6048528213241287,0.04589728587917084,0.3872663055887205
[6 1 4 4 4],0.6041960662239438,0.035518660774078344,0.3667108397029875
[6 1 4 5 4],0.6036393163622418,0.03418949332646659,0.46247203904010137
[6 1 6 3 4],0.6031784841075793,0.021034001187289104,0.43653902750514245
