Modelo,Configuracion,Precision,desvPrecision,errorMetrico
AdaBoostClassifier,"[5, 5, 5, 5, 5]",0.942782342121,0.00856680480682,0.0884515273107
ExtraTreesClassifier,"[5, 5, 5, 5, 5]",0.940352340078,0.00886305540027,0.0859243408161
RandomForestClassifier,"[5, 5, 5, 5, 5]",0.936631923156,0.010557458838,0.0919895884031
AdaBoostClassifier,"[3, 3, 3, 3, 3]",0.935344318741,0.00570566314806,0.0677764536029
ExtraTreesClassifier,"[3, 3, 3, 3, 3]",0.93405735913,0.00783743719747,0.0714958931299
RandomForestClassifier,"[3, 3, 3, 3, 3]",0.929734109417,0.00692538888366,0.0545517797292
AdaBoostClassifier,"[1, 1, 1, 1, 1]",0.929616960375,0.00837516947733,0.0881860859832
ExtraTreesClassifier,"[2, 2, 2, 2, 2]",0.928237260202,0.00778909251567,0.0665924601861
VotingClassifier,"[5, 5, 5, 5, 5]",0.927621295729,0.0128941725854,0.109174456566
DecisionTreeClassifier,"[5, 5, 5, 5, 5]",0.927335172696,0.00793412043563,0.119788639844
ExtraTreesClassifier,"[1, 1, 1, 1, 1]",0.926527584462,0.00942265685014,0.0942539359362
AdaBoostClassifier,"[2, 2, 2, 2, 2]",0.925634414752,0.00982146871625,0.0665924601861
RandomForestClassifier,"[2, 2, 2, 2, 2]",0.922783584086,0.0070989156228,0.0714116513838
RandomForestClassifier,"[1, 1, 1, 1, 1]",0.922063900226,0.0128261307874,0.0780730027283
DecisionTreeClassifier,"[3, 3, 3, 3, 3]",0.920495026507,0.00830235797518,0.0764551458326
GradientBoostingClassifier,"[5, 5, 5, 5, 5]",0.916320457797,0.0147631289211,0.118272327947
AdaBoostClassifier,"[4, 4, 4, 4, 4]",0.91284472143,0.00983527390624,0.121089212369
DecisionTreeClassifier,"[1, 1, 1, 1, 1]",0.912108880449,0.0132335311807,0.107603205833
SVC,"[5, 5, 5, 5, 5]",0.907308808502,0.0144775360905,0.119283202545
ExtraTreesClassifier,"[4, 4, 4, 4, 4]",0.906836941007,0.0110420620888,0.108438100629
VotingClassifier,"[2, 2, 2, 2, 2]",0.905428769975,0.0060484485627,0.0836786835233
VotingClassifier,"[3, 3, 3, 3, 3]",0.902372793354,0.0102298235891,0.110343372634
DecisionTreeClassifier,"[2, 2, 2, 2, 2]",0.902331798992,0.0100220810169,0.118289238488
RandomForestClassifier,"[4, 4, 4, 4, 4]",0.899297573436,0.012562162599,0.121992863208
SVC,"[1, 1, 1, 1, 1]",0.888189414969,0.0159491815086,0.115289149107
DecisionTreeClassifier,"[4, 4, 4, 4, 4]",0.887922705314,0.0120981979877,0.131933022432
SVC,"[3, 3, 3, 3, 3]",0.887410777723,0.00839314272218,0.128114028152
