Modelo,Configuracion,Precision,Error
AdaBoostClassifier,"[5, 5, 5, 5, 5]",0.942782342121,0.00856680480682
ExtraTreesClassifier,"[5, 5, 5, 5, 5]",0.940352340078,0.00886305540027
RandomForestClassifier,"[5, 5, 5, 5, 5]",0.936631923156,0.010557458838
AdaBoostClassifier,"[3, 3, 3, 3, 3]",0.935344318741,0.00570566314806
ExtraTreesClassifier,"[3, 3, 3, 3, 3]",0.93405735913,0.00783743719747
RandomForestClassifier,"[3, 3, 3, 3, 3]",0.929734109417,0.00692538888366
AdaBoostClassifier,"[1, 1, 1, 1, 1]",0.929616960375,0.00837516947733
ExtraTreesClassifier,"[2, 2, 2, 2, 2]",0.928237260202,0.00778909251567
VotingClassifier,"[5, 5, 5, 5, 5]",0.927621295729,0.0128941725854
DecisionTreeClassifier,"[5, 5, 5, 5, 5]",0.927335172696,0.00793412043563
ExtraTreesClassifier,"[1, 1, 1, 1, 1]",0.926527584462,0.00942265685014
AdaBoostClassifier,"[2, 2, 2, 2, 2]",0.925634414752,0.00982146871625
RandomForestClassifier,"[2, 2, 2, 2, 2]",0.922783584086,0.0070989156228
RandomForestClassifier,"[1, 1, 1, 1, 1]",0.922063900226,0.0128261307874
DecisionTreeClassifier,"[3, 3, 3, 3, 3]",0.920495026507,0.00830235797518
GradientBoostingClassifier,"[5, 5, 5, 5, 5]",0.916320457797,0.0147631289211
AdaBoostClassifier,"[4, 4, 4, 4, 4]",0.91284472143,0.00983527390624
DecisionTreeClassifier,"[1, 1, 1, 1, 1]",0.912108880449,0.0132335311807
SVC,"[5, 5, 5, 5, 5]",0.907308808502,0.0144775360905
ExtraTreesClassifier,"[4, 4, 4, 4, 4]",0.906836941007,0.0110420620888
VotingClassifier,"[2, 2, 2, 2, 2]",0.905428769975,0.0060484485627
VotingClassifier,"[3, 3, 3, 3, 3]",0.902372793354,0.0102298235891
DecisionTreeClassifier,"[2, 2, 2, 2, 2]",0.902331798992,0.0100220810169
RandomForestClassifier,"[4, 4, 4, 4, 4]",0.899297573436,0.012562162599
SVC,"[1, 1, 1, 1, 1]",0.888189414969,0.0159491815086
DecisionTreeClassifier,"[4, 4, 4, 4, 4]",0.887922705314,0.0120981979877
SVC,"[3, 3, 3, 3, 3]",0.887410777723,0.00839314272218
SVC,"[2, 2, 2, 2, 2]",0.882128767822,0.0158609692632
VotingClassifier,"[1, 1, 1, 1, 1]",0.881209747812,0.0059629351407
GradientBoostingClassifier,"[3, 3, 3, 3, 3]",0.87442791168,0.0138865652245
GradientBoostingClassifier,"[2, 2, 2, 2, 2]",0.870973430375,0.00644120629768
VotingClassifier,"[4, 4, 4, 4, 4]",0.870157078324,0.00963257132349
KNeighborsClassifier,"[5, 5, 5, 5, 5]",0.858958716534,0.0184306109311
SVC,"[4, 4, 4, 4, 4]",0.857508174018,0.00711665557825
GradientBoostingClassifier,"[1, 1, 1, 1, 1]",0.834630184456,0.0151846723385
