Modelo,Configuracion,Precision,desvPrecision,errorMetrico
GradientBoostingClassifier,"[5, 5, 5, 5, 5]",0.860644391408,0.0171459146416,0.173409520148
VotingClassifier,"[5, 5, 5, 5, 5]",0.846824639164,0.0189944969668,0.204555890272
ExtraTreesClassifier,"[5, 5, 5, 5, 5]",0.842061597909,0.0165258632528,0.209606652995
AdaBoostClassifier,"[5, 5, 5, 5, 5]",0.836588816911,0.021882318952,0.234860466608
RandomForestClassifier,"[5, 5, 5, 5, 5]",0.836121718377,0.022600658083,0.226442528737
GradientBoostingClassifier,"[3, 3, 3, 3, 3]",0.822946200347,0.0189784485903,0.167309588927
GradientBoostingClassifier,"[2, 2, 2, 2, 2]",0.819985089887,0.0249329851551,0.141567301909
GradientBoostingClassifier,"[0, 0, 0, 0, 0]",0.816516167665,0.0182266763725,0.1582336853
KNeighborsClassifier,"[5, 5, 5, 5, 5]",0.810627912263,0.0178548783715,0.227284322524
VotingClassifier,"[3, 3, 3, 3, 3]",0.800936355155,0.0197620375111,0.170063656235
AdaBoostClassifier,"[2, 2, 2, 2, 2]",0.800169123285,0.0203334003292,0.167837522882
VotingClassifier,"[2, 2, 2, 2, 2]",0.800164011246,0.0252405105885,0.151053770594
AdaBoostClassifier,"[0, 0, 0, 0, 0]",0.799726546906,0.0205105247804,0.216864916907
RandomForestClassifier,"[3, 3, 3, 3, 3]",0.797620618776,0.0175104147876,0.197604329309
VotingClassifier,"[0, 0, 0, 0, 0]",0.793730938124,0.0160445725184,0.204149710053
ExtraTreesClassifier,"[2, 2, 2, 2, 2]",0.791907642498,0.0277539376654,0.157621325837
SVC,"[5, 5, 5, 5, 5]",0.791815547221,0.020481450306,0.250012754777
RandomForestClassifier,"[2, 2, 2, 2, 2]",0.791498253387,0.0210044359087,0.16345915272
RandomForestClassifier,"[0, 0, 0, 0, 0]",0.790528143713,0.0146734920397,0.198498507006
GradientBoostingClassifier,"[1, 1, 1, 1, 1]",0.788023627772,0.0169416621759,0.230988215188
ExtraTreesClassifier,"[3, 3, 3, 3, 3]",0.78749592312,0.0131784370541,0.191407677867
AdaBoostClassifier,"[3, 3, 3, 3, 3]",0.786715437535,0.0158805807376,0.174883274023
ExtraTreesClassifier,"[0, 0, 0, 0, 0]",0.785328942116,0.0130553073451,0.198498507006
DecisionTreeClassifier,"[5, 5, 5, 5, 5]",0.781560404591,0.0156188296651,0.244961992054
GaussianNB,"[5, 5, 5, 5, 5]",0.777047391749,0.0228220903651,0.309780113663
KNeighborsClassifier,"[0, 0, 0, 0, 0]",0.774936127745,0.0179364177697,0.230286524143
KNeighborsClassifier,"[2, 2, 2, 2, 2]",0.769827468689,0.020815998342,0.168567251243
RandomForestClassifier,"[1, 1, 1, 1, 1]",0.765342784442,0.0211747895735,0.22492729992
GradientBoostingClassifier,"[4, 4, 4, 4, 4]",0.764957582906,0.013307729064,0.233947030797
VotingClassifier,"[1, 1, 1, 1, 1]",0.762294074882,0.013256186942,0.255905311287
KNeighborsClassifier,"[3, 3, 3, 3, 3]",0.756715285837,0.0180085386711,0.214128733154
AdaBoostClassifier,"[1, 1, 1, 1, 1]",0.7527651763,0.0173153470144,0.259945921465
DecisionTreeClassifier,"[3, 3, 3, 3, 3]",0.749896086953,0.0144779316444,0.209309115366
ExtraTreesClassifier,"[1, 1, 1, 1, 1]",0.749139222101,0.0154889125936,0.239742870574
SVC,"[2, 2, 2, 2, 2]",0.748960126097,0.023039128306,0.240810358918
SVC,"[3, 3, 3, 3, 3]",0.740944395143,0.0111034605247,0.289177067282
GaussianNB,"[0, 0, 0, 0, 0]",0.7385500998,0.0182876978004,0.253597736709
DecisionTreeClassifier,"[0, 0, 0, 0, 0]",0.738365668663,0.013915525927,0.242295330616
VotingClassifier,"[4, 4, 4, 4, 4]",0.737914077031,0.0173802888391,0.284347194988
GaussianNB,"[3, 3, 3, 3, 3]",0.736261860878,0.0184310139674,0.272652663437
DecisionTreeClassifier,"[2, 2, 2, 2, 2]",0.727095083923,0.0170597202552,0.230594161873
KNeighborsClassifier,"[1, 1, 1, 1, 1]",0.727039621956,0.0233317033801,0.272741187029
GaussianNB,"[2, 2, 2, 2, 2]",0.722339609781,0.0196953350351,0.232783346954
SVC,"[0, 0, 0, 0, 0]",0.722175648703,0.0168578958543,0.305871364889
AdaBoostClassifier,"[4, 4, 4, 4, 4]",0.721298825024,0.0207569822802,0.276824782422
RandomForestClassifier,"[4, 4, 4, 4, 4]",0.713430567527,0.0184118832075,0.295630813837
ExtraTreesClassifier,"[4, 4, 4, 4, 4]",0.712577689062,0.018029974703,0.324968222843
KNeighborsClassifier,"[4, 4, 4, 4, 4]",0.700016785374,0.0282429341781,0.310675638968
DecisionTreeClassifier,"[1, 1, 1, 1, 1]",0.696528898582,0.0191617885742,0.276781797207
SVC,"[1, 1, 1, 1, 1]",0.687189749182,0.0209334522397,0.253211571168
SVC,"[4, 4, 4, 4, 4]",0.671918069228,0.0250041277738,0.291117366297
