tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001473696;0.03; 10109250; 8260001 ;0.82;21.12;
0.001427320;0.03; 14474539;17111087 ;1.18;20.59;
0.011909478;0.66;361896538;90943171 ;1.08;88.16;
0.011944204;0.66;360840212;92935243 ;1.09;89.94;
0.008268164;0.43;360543495;88127601 ;1.08;100.00;
0.011935538;0.65;244265944;61966952 ;1.07;100.00;
0.011913286;0.64;362118447;92848304 ;1.08;100.00;
0.011931973;0.64;300974796;19166447 ;1.06;85.80;
0.001723767;0.10; 25883028;36136659 ;1.40;39.13;
0.001476331;0.07; 14792307;25473069 ;1.72;60.47;
0.001905807;0.08; 14711326;25218761 ;1.71;56.62;
0.001622334;0.07; 14463794;24744010 ;1.71;55.51;
0.001441180;0.07; 14900419;27551204 ;1.85;40.00;
0.001643066;0.08; 14879013;24406177 ;1.64;61.77;
0.001638148;0.07; 14402814;24581283 ;1.71;61.19;
0.001477428;0.07;  9097206;14450956 ;1.59;53.33;
0.001491871;0.05;  9698141;14135873 ;1.46;41.68;
0.001472372;0.05;  9101977;14250138 ;1.57;43.23;
0.001461720;0.05; 10908060;14284543 ;1.31;44.04;
0.001446957;0.05;  9277615;14017794 ;1.51;43.76;
0.001486455;0.02;  9690337;14232783 ;1.47;43.22;
0.001457618;0.05; 14427127;24346777 ;1.69;47.71;
0.001477391;0.03; 10272621;14621410 ;1.42;48.85;
0.001475779;0.03; 14526537;15322953 ;1.05;40.56;
0.001501954;0.02;  2811000; 1440338 ;0.51;;
0.001500085;0.01;  3108168; 1580162 ;0.51;;
0.001472618;0.02;  2836578; 1352060 ;0.48;;
0.001435267;0.02;  3273441; 1564066 ;0.48;;
0.001477085;0.01;  2827322; 1421256 ;0.50;;
0.001495922;0.02;  2902304; 1464994 ;0.50;;
0.001476353;0.01;  3660754; 1750070 ;0.48;;
0.001480905;0.02;  2602517; 1531702 ;0.59;;
0.001570392;0.01;  3216034; 1449862 ;0.45;;
0.001505672;0.02;  2980172; 1490233 ;0.50;;
0.001467984;0.01;  3198355; 1600436 ;0.50;;
0.001499335;0.02;  3497528; 1691209 ;0.48;;
0.001503209;0.01;  2718741; 1438080 ;0.53;;
0.001475182;0.01;  2564658; 1283468 ;0.50;;
0.001497653;0.01;  2843648; 1448627 ;0.51;;
0.001471150;0.01;  3536739; 1629886 ;0.46;;
0.001462213;0.01;  2671495; 1435259 ;0.54;;
0.001589089;0.01;  2962700; 1494315 ;0.50;;
0.001600531;0.01;  3172185; 1516564 ;0.48;;
0.001468867;0.02;  3990075; 1705744 ;0.43;;
0.001461103;0.01;  2864841; 1373514 ;0.48;;
0.001515681;0.02;  2971894; 1509559 ;0.51;;
0.001442947;0.02;  2617270; 1558715 ;0.60;;
0.001486519;0.01;  2971818; 1479688 ;0.50;;
0.001431176;0.01;  3398505; 1647860 ;0.48;;
0.001432465;0.02;  2816697; 1440854 ;0.51;;
0.001431524;0.01;  2933428; 1599353 ;0.55;;
0.001431144;0.01;  3527438; 1951012 ;0.55;;
0.001467744;0.01;  3228724; 1574750 ;0.49;;
0.001510921;0.01;  3263328; 1559777 ;0.48;;
