tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001662444;0.05; 11733364; 9539385 ;0.81;16.33;
0.001519707;0.09;  9280090; 7654029 ;0.82;33.33;
0.011965137;0.68;362462243;57669144 ;0.99;88.00;
0.011932785;0.67;239556906;35963758 ;0.99;100.00;
0.011972975;0.69;362167929;56000063 ;0.98;88.18;
0.011954464;0.68;301985064;97450114 ;0.98;88.73;
0.008044755;0.45;361008645;24236341 ;0.90;71.40;
0.001484498;0.04; 13870625;20796776 ;1.50;33.60;
0.001483268;0.08; 14031008;20066836 ;1.43;42.31;
0.001456761;0.04; 14355949;19778188 ;1.38;64.69;
0.001439379;0.07; 13673128;19990611 ;1.46;53.61;
0.001439243;0.08; 14396278;21684101 ;1.51;59.28;
0.001468399;0.07; 14465180;19237695 ;1.33;0.00;
0.001480432;0.02;  3819100; 1634062 ;0.43;44.09;
0.001486760;0.06;  9465886;11932461 ;1.26;50.00;
0.001547287;0.06;  9337423;10320487 ;1.11;58.33;
0.001486345;0.07;  9152993;11557767 ;1.26;38.64;
0.001488471;0.07;  8821431;10056867 ;1.14;100.00;
0.001497935;0.07;  8568492;11253191 ;1.31;32.00;
0.001610072;0.06;  9017841;11623801 ;1.29;100.00;
0.001525517;0.08;  9001867;11045399 ;1.23;100.00;
0.001546280;0.07;  8612201; 3863355 ;0.45;;
0.001527680;0.07;  2710243; 1476621 ;0.54;;
0.001455407;0.02; 15204167; 9500344 ;0.62;;
0.001574961;0.01; 12706538;11835228 ;0.93;;
