tiempo(Segundos);energia(Joules);ciclos;instrucciones;inst/ciclo;porcentajecpu
0.001691724;0.04; 12313394; 2250721 ;0.18;33.33;
0.001516375;0.03;  9466283; 8255732 ;0.87;36.80;
0.007885046;0.43;415026648;45337056 ;1.07;92.90;
0.011901396;0.63;359707965;92358246 ;1.09;87.50;
0.011937446;0.59;362163997;81037071 ;1.05;87.50;
0.011939074;0.66; 97535459;99009481 ;1.02;87.95;
0.011928437;0.66;361970815;91374187 ;1.08;100.00;
0.003134346;0.16;360075092;65773066 ;1.02;88.73;
0.001828466;0.07; 14963618;25845826 ;1.73;61.70;
0.001554032;0.07; 14249682;25610019 ;1.80;0.00;
0.001526045;0.07; 16489139;27070716 ;1.64;33.33;
0.001577997;0.07; 16927038;26617058 ;1.57;60.88;
0.001496794;0.04; 14554296;23711303 ;1.63;60.98;
0.002064409;0.07; 14415102;25242743 ;1.75;64.65;
0.001513268;0.05; 14149935;21665690 ;1.53;0.00;
0.001462591;0.07; 10878367;15682900 ;1.44;39.30;
0.001593534;0.08;  9805748;14946662 ;1.52;57.89;
0.001731426;0.04;  9350051;14249433 ;1.52;36.43;
0.001529318;0.07; 10261372;14688289 ;1.43;46.41;
0.001502365;0.07;  8408969;13878425 ;1.65;100.00;
0.001485410;0.07; 20624528;19830208 ;0.96;46.13;
0.001499041;0.03;  9371405;15100212 ;1.61;52.15;
0.001492332;0.06; 10178170; 4593807 ;0.45;37.10;
0.001414339;0.02;  3454657; 1703344 ;0.49;;
0.001450117;0.04; 12803929; 9632999 ;0.75;;
0.001394640;0.02;  9499182;13022343 ;1.37;;
