Model,mean_test_score,runtime,C,gamma,max_iter
SVC,0.878664103796252,0.292282652854919,10,0.01,100000
SVC,0.875780874579529,0.287227940559387,5,0.01,100000
SVC,0.872176838058626,0.328076195716858,50,0.01,100000
SVC,0.870975492551658,0.292344570159912,2,0.01,100000
SVC,0.870254685247477,1.7315286397934,1,0.1,100000
SVC,0.866170110523787,0.265635776519775,100,0.001,100000
SVC,0.866170110523787,0.312234568595886,1,0.01,100000
SVC,0.865929841422393,1.79421365261078,2,0.1,100000
SVC,0.86304661220567,0.360356783866882,100,0.01,100000
SVC,0.862806343104277,0.25685498714447,50,0.001,100000
SVC,0.857280153772225,1.80934147834778,5,0.1,100000
SVC,0.849591542527631,1.79985113143921,10,0.1,100000
SVC,0.848630466122057,1.80833601951599,50,0.1,100000
SVC,0.846708313310908,1.79505417346954,100,0.1,100000
SVC,0.845987506006728,0.239236664772034,10,0.001,100000
SVC,0.834935127342624,2.76755249500275,1,auto,100000
SVC,0.834214320038443,0.260977602005005,5,0.001,100000
SVC,0.833012974531475,2.80764389038086,2,auto,100000
SVC,0.82724651609803,2.82380599975586,5,auto,100000
SVC,0.826765977895242,2.7999477148056,10,auto,100000
SVC,0.826525708793849,2.79650859832764,100,auto,100000
SVC,0.826525708793849,2.81115067005157,50,auto,100000
SVC,0.821239788563191,0.311679887771606,2,0.001,100000
SVC,0.8097068716963,0.391889834403992,1,0.001,100000
,,,,,
,,,,,
,,,,,
,,,,,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
,,,,0,
